176093659207,TYPE_REF,2,,class JobConfig<meta>(...),1,,4,,,2,,job\\apps.py:<module>.JobConfig<meta>
176093659208,TYPE_REF,2,,__builtins__.hasattr,1,,1,,,2,,__builtin.hasattr
176093659209,TYPE_REF,1,,class PresenceAccountConsumer<meta>(...),1,,18,,,1,,job\\consumers.py:<module>.PresenceAccountConsumer<meta>
176093659210,TYPE_REF,0,,class PresenceAccountConsumer<meta>(...),1,,18,,,1,,job\\consumers.py:<module>.PresenceAccountConsumer<meta>
176093659211,TYPE_REF,2,,class PresenceAccountConsumer<meta>(...),1,,18,,,2,,job\\consumers.py:<module>.PresenceAccountConsumer<meta>
176093659212,TYPE_REF,1,,class DeviceConsumer<meta>(...),1,,40,,,1,,job\\consumers.py:<module>.DeviceConsumer<meta>
176093659213,TYPE_REF,0,,class DeviceConsumer<meta>(...),1,,40,,,1,,job\\consumers.py:<module>.DeviceConsumer<meta>
176093659214,TYPE_REF,2,,class DeviceConsumer<meta>(...),1,,40,,,2,,job\\consumers.py:<module>.DeviceConsumer<meta>
176093659215,TYPE_REF,2,,__builtins__.help,1,,1,,,2,,__builtin.help
176093659216,TYPE_REF,1,,class Command<meta>(...),1,,9,,,1,,job\\management\\commands\\init_job_celery_tasks.py:<module>.Command<meta>
176093659217,TYPE_REF,0,,class Command<meta>(...),1,,9,,,1,,job\\management\\commands\\init_job_celery_tasks.py:<module>.Command<meta>
176093659218,TYPE_REF,2,,class Command<meta>(...),1,,9,,,2,,job\\management\\commands\\init_job_celery_tasks.py:<module>.Command<meta>
176093659219,TYPE_REF,1,,class Migration<meta>(...),1,,6,,,1,,job\\migrations\\0001_initial.py:<module>.Migration<meta>
176093659220,TYPE_REF,0,,class Migration<meta>(...),1,,6,,,1,,job\\migrations\\0001_initial.py:<module>.Migration<meta>
176093659221,TYPE_REF,2,,class Migration<meta>(...),1,,6,,,2,,job\\migrations\\0001_initial.py:<module>.Migration<meta>
