158913790026,TYPE,core\\migrations\\0004_alter_user_deleted_at.py:<module>.Migration.<fakeNew>,<fakeNew>,core\\migrations\\0004_alter_user_deleted_at.py:<module>.Migration.<fakeNew>
158913790027,TYPE,core\\migrations\\0004_alter_user_deleted_at.py:<module>,<module>,core\\migrations\\0004_alter_user_deleted_at.py:<module>
158913790028,TYPE,core\\migrations\\__init__.py:<module>,<module>,core\\migrations\\__init__.py:<module>
158913790029,TYPE,core\\models.py:<module>.UserManager<meta>,UserManager<meta>,core\\models.py:<module>.UserManager<meta>
158913790030,TYPE,core\\models.py:<module>.UserManager,UserManager,core\\models.py:<module>.UserManager
158913790031,TYPE,core\\models.py:<module>.UserManager._create_user,_create_user,core\\models.py:<module>.UserManager._create_user
158913790032,TYPE,core\\models.py:<module>.UserManager.create_user,create_user,core\\models.py:<module>.UserManager.create_user
158913790033,TYPE,core\\models.py:<module>.UserManager.create_superuser,create_superuser,core\\models.py:<module>.UserManager.create_superuser
158913790034,TYPE,core\\models.py:<module>.UserManager.with_perm,with_perm,core\\models.py:<module>.UserManager.with_perm
158913790035,TYPE,core\\models.py:<module>.UserManager.<body>,<body>,core\\models.py:<module>.UserManager.<body>
158913790036,TYPE,core\\models.py:<module>.UserManager.<metaClassCallHandler>,<metaClassCallHandler>,core\\models.py:<module>.UserManager.<metaClassCallHandler>
158913790037,TYPE,core\\models.py:<module>.UserManager.<fakeNew>,<fakeNew>,core\\models.py:<module>.UserManager.<fakeNew>
158913790038,TYPE,core\\models.py:<module>.UserManager._create_user<metaClassAdapter>,_create_user<metaClassAdapter>,core\\models.py:<module>.UserManager._create_user<metaClassAdapter>
158913790039,TYPE,core\\models.py:<module>.UserManager.create_superuser<metaClassAdapter>,create_superuser<metaClassAdapter>,core\\models.py:<module>.UserManager.create_superuser<metaClassAdapter>
158913790040,TYPE,core\\models.py:<module>.UserManager.create_user<metaClassAdapter>,create_user<metaClassAdapter>,core\\models.py:<module>.UserManager.create_user<metaClassAdapter>
158913790041,TYPE,core\\models.py:<module>.UserManager.with_perm<metaClassAdapter>,with_perm<metaClassAdapter>,core\\models.py:<module>.UserManager.with_perm<metaClassAdapter>
158913790042,TYPE,core\\models.py:<module>.User<meta>,User<meta>,core\\models.py:<module>.User<meta>
158913790043,TYPE,core\\models.py:<module>.User,User,core\\models.py:<module>.User
158913790044,TYPE,core\\models.py:<module>.User.<body>,<body>,core\\models.py:<module>.User.<body>
158913790045,TYPE,core\\models.py:<module>.User.<metaClassCallHandler>,<metaClassCallHandler>,core\\models.py:<module>.User.<metaClassCallHandler>
158913790046,TYPE,core\\models.py:<module>.User.<fakeNew>,<fakeNew>,core\\models.py:<module>.User.<fakeNew>
158913790047,TYPE,core\\models.py:<module>,<module>,core\\models.py:<module>
158913790048,TYPE,core\\permissions.py:<module>.IsAdmin<meta>,IsAdmin<meta>,core\\permissions.py:<module>.IsAdmin<meta>
158913790049,TYPE,core\\permissions.py:<module>.IsAdmin,IsAdmin,core\\permissions.py:<module>.IsAdmin
158913790050,TYPE,core\\permissions.py:<module>.IsAdmin.has_permission,has_permission,core\\permissions.py:<module>.IsAdmin.has_permission
158913790051,TYPE,core\\permissions.py:<module>.IsAdmin.<body>,<body>,core\\permissions.py:<module>.IsAdmin.<body>
158913790052,TYPE,core\\permissions.py:<module>.IsAdmin.<metaClassCallHandler>,<metaClassCallHandler>,core\\permissions.py:<module>.IsAdmin.<metaClassCallHandler>
158913790053,TYPE,core\\permissions.py:<module>.IsAdmin.<fakeNew>,<fakeNew>,core\\permissions.py:<module>.IsAdmin.<fakeNew>
158913790054,TYPE,core\\permissions.py:<module>.IsAdmin.has_permission<metaClassAdapter>,has_permission<metaClassAdapter>,core\\permissions.py:<module>.IsAdmin.has_permission<metaClassAdapter>
